time,ax,ay,az,atotal
2.307,-0.03,0.35,-0.22,0.41
2.316,-0.04,0.07,-0.02,0.08
2.326,0.05,0.24,0.29,0.38
2.336,-0.05,-0.15,-0.02,0.16
2.347,-0.01,0.24,-0.24,0.34
2.356,-0.02,0.30,-0.19,0.35
2.366,0.00,0.11,0.21,0.24
2.377,0.01,0.27,0.01,0.27
2.386,-0.03,-0.29,0.02,0.29
2.396,-0.00,0.49,-0.19,0.53
2.406,-0.02,0.12,-0.11,0.16
2.416,-0.01,0.23,0.10,0.25
2.426,0.04,0.11,0.21,0.24
2.436,-0.06,-0.15,-0.13,0.20
2.446,-0.03,0.31,-0.23,0.39
2.456,0.03,0.34,-0.08,0.35
2.466,-0.02,0.13,0.01,0.13
2.476,0.04,0.12,0.11,0.17
2.486,-0.05,-0.18,0.03,0.19
2.496,-0.03,0.36,-0.18,0.40
2.506,-0.02,0.34,-0.06,0.35
2.516,-0.02,0.09,0.14,0.17
2.526,0.01,0.19,0.06,0.20
2.536,-0.07,-0.27,-0.04,0.28
2.546,0.02,0.41,-0.15,0.44
2.556,-0.00,0.26,-0.08,0.27
2.566,0.00,0.28,0.08,0.29
2.576,-0.00,-0.02,-0.03,0.04
2.586,-0.03,-0.17,-0.13,0.22
2.596,0.04,0.38,-0.12,0.40
2.606,-0.00,0.20,0.12,0.24
2.616,-0.01,0.35,-0.01,0.35
2.626,-0.02,-0.07,0.01,0.08
2.636,-0.02,-0.06,-0.14,0.16
2.646,-0.01,0.32,-0.19,0.37
2.656,-0.02,0.28,0.13,0.31
2.666,0.01,0.36,-0.09,0.37
2.676,-0.01,-0.14,-0.12,0.19
2.686,-0.02,0.08,-0.12,0.15
2.696,0.01,0.21,-0.12,0.24
2.706,-0.01,0.16,0.09,0.19
2.716,0.00,0.35,0.09,0.36
2.726,-0.06,-0.12,-0.20,0.24
2.736,-0.04,0.04,-0.08,0.10
2.746,-0.00,0.33,-0.17,0.37
2.756,-0.03,0.14,-0.04,0.15
2.766,0.03,0.33,0.13,0.36
2.776,-0.04,0.05,-0.11,0.13
2.785,-0.04,-0.10,-0.30,0.32
2.796,0.01,0.38,-0.12,0.39
2.806,-0.02,0.02,0.09,0.09
2.816,0.05,0.28,0.11,0.30
2.826,-0.05,0.05,-0.14,0.16
2.836,-0.06,-0.00,-0.29,0.30
2.846,-0.01,0.29,-0.25,0.38
2.856,-0.00,0.15,0.01,0.15
2.865,0.01,0.28,0.08,0.29
2.876,-0.03,-0.08,-0.11,0.14
2.885,-0.06,0.11,-0.32,0.35
2.896,0.01,0.22,-0.29,0.36
2.905,0.01,0.12,0.13,0.17
2.915,-0.00,0.31,-0.03,0.31
2.925,-0.04,-0.11,-0.21,0.24
2.935,-0.08,0.19,-0.32,0.38
