# M, Cl, Cd, alpha, BF1, BF2, BF3, BF4
7.600000000000000089e-01,5.221599999999999575e-01,1.007000000000000083e-02,1.710499999999999909e+00,-4.147344750953618764e-02,-1.420000000000003482e-01,-1.825574475095361748e-01,-3.687999999999998918e-02
7.600000000000000089e-01,5.960999999999999632e-01,1.008000000000000042e-02,1.973700000000000010e+00,-3.847680606685388582e-03,-1.740000000000003766e-01,-1.619116806066853709e-01,-4.007999999999999757e-02
7.600000000000000089e-01,6.290000000000000036e-01,1.098999999999999977e-02,2.105300000000000171e+00,2.688750049078358906e-02,-1.690000000000000391e-01,-1.255304995092163534e-01,-3.951999999999999263e-02
7.600000000000000089e-01,6.553799999999999626e-01,1.183000000000000024e-02,2.236800000000000122e+00,4.933553680061764091e-02,-1.470000000000002416e-01,-1.030824631993823015e-01,-3.812999999999999029e-02
7.800000000000000266e-01,2.159399999999999931e-01,9.910000000000000406e-03,1.315999999999999948e-01,-6.024691725978015278e-02,-2.600000000000002309e-01,-1.776409273759187446e-01,-4.465000000000001606e-02
7.800000000000000266e-01,2.441200000000000037e-01,9.709999999999999881e-03,2.631999999999999895e-01,-5.192851764442374396e-02,-2.410000000000001030e-01,-1.930125176444237312e-01,-4.339999999999998720e-02
7.800000000000000266e-01,2.690799999999999859e-01,1.001999999999999939e-02,3.946999999999999953e-01,-5.500959833189500436e-02,-2.200000000000001954e-01,-1.860219967026255361e-01,-4.266000000000002429e-02
7.800000000000000266e-01,2.979200000000000181e-01,9.839999999999999789e-03,5.262999999999999901e-01,-3.749472013535748438e-02,-2.080000000000001847e-01,-1.728997201353574820e-01,-4.192000000000000587e-02
7.800000000000000266e-01,3.284400000000000097e-01,1.012000000000000052e-02,6.579000000000000403e-01,-3.129477383947443236e-02,-1.900000000000003908e-01,-1.584277519529153633e-01,-4.128000000000000419e-02
7.800000000000000266e-01,3.541000000000000258e-01,1.026000000000000002e-02,7.894999999999999796e-01,-2.444472755604865100e-02,-1.670000000000002593e-01,-1.533829353605242751e-01,-3.976999999999999286e-02
7.800000000000000266e-01,3.796499999999999875e-01,1.048999999999999932e-02,9.211000000000000298e-01,-1.940574486484125671e-02,-1.440000000000001279e-01,-1.491407448648411904e-01,-3.824999999999999928e-02
7.800000000000000266e-01,4.157299999999999884e-01,9.730000000000000801e-03,1.052599999999999980e+00,-4.436420872076785038e-02,-1.560000000000001386e-01,-1.797692087207678480e-01,-3.981999999999998735e-02
7.800000000000000266e-01,4.471899999999999764e-01,9.669999999999999776e-03,1.184199999999999919e+00,-3.655673912822554605e-02,-1.380000000000003446e-01,-1.620523897911541056e-01,-3.915000000000001118e-02
7.800000000000000266e-01,4.784599999999999964e-01,1.008000000000000042e-02,1.315800000000000081e+00,-2.322338601684825754e-02,-1.230000000000002203e-01,-1.426760744855406493e-01,-3.842999999999998501e-02
7.800000000000000266e-01,5.103100000000000414e-01,1.115000000000000019e-02,1.447400000000000020e+00,7.080425465634920812e-03,-1.070000000000002061e-01,-1.129613274057776895e-01,-3.751999999999999086e-02
7.800000000000000266e-01,5.403499999999999970e-01,1.210999999999999924e-02,1.578999999999999959e+00,3.123420735054360797e-02,-8.499999999999996447e-02,-9.261232475437486400e-02,-3.582999999999999380e-02
7.800000000000000266e-01,5.689300000000000468e-01,1.291999999999999919e-02,1.710499999999999909e+00,4.898611631755533935e-02,-5.300000000000038014e-02,-7.731692939829182265e-02,-3.407999999999999224e-02
7.800000000000000266e-01,6.094500000000000473e-01,1.481000000000000025e-02,1.842100000000000071e+00,5.011242634525348016e-02,2.099999999999990763e-02,-5.013631875155843964e-02,-2.971000000000000724e-02
7.800000000000000266e-01,6.350099999999999634e-01,1.591000000000000053e-02,1.973700000000000010e+00,6.714889149237945887e-02,7.399999999999984368e-02,-3.533254628200621639e-02,-2.624999999999998862e-02
7.800000000000000266e-01,6.588600000000000012e-01,1.697999999999999857e-02,2.105300000000000171e+00,8.257742933364098370e-02,1.250000000000000000e-01,-2.172385572980495283e-02,-2.208000000000000934e-02
7.800000000000000266e-01,6.811000000000000387e-01,1.805999999999999966e-02,2.236800000000000122e+00,9.783069902084728930e-02,1.799999999999997158e-01,-9.295830663293314089e-03,-1.792999999999999455e-02
