#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.15000E+04  0.57500E+02  0.53158E+02  0.56778E+03
0.15000E+04  0.60000E+02  0.53380E+02  0.56229E+03
0.15000E+04  0.62500E+02  0.53584E+02  0.55677E+03
0.15000E+04  0.65000E+02  0.53771E+02  0.55122E+03

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.16000E+04  0.50000E+01  0.27544E+02  0.50075E+03
0.16000E+04  0.75000E+01  0.33298E+02  0.58176E+03
0.16000E+04  0.10000E+02  0.37039E+02  0.62637E+03
0.16000E+04  0.12500E+02  0.39748E+02  0.65350E+03
0.16000E+04  0.15000E+02  0.41838E+02  0.67074E+03
0.16000E+04  0.17500E+02  0.43519E+02  0.68183E+03
0.16000E+04  0.20000E+02  0.44909E+02  0.68880E+03
0.16000E+04  0.22500E+02  0.46085E+02  0.69291E+03
0.16000E+04  0.25000E+02  0.47097E+02  0.69495E+03
0.16000E+04  0.27500E+02  0.47979E+02  0.69544E+03
0.16000E+04  0.30000E+02  0.48755E+02  0.69477E+03
0.16000E+04  0.32500E+02  0.49446E+02  0.69318E+03
0.16000E+04  0.35000E+02  0.50064E+02  0.69089E+03
0.16000E+04  0.37500E+02  0.50620E+02  0.68804E+03
0.16000E+04  0.40000E+02  0.51125E+02  0.68473E+03
0.16000E+04  0.42500E+02  0.51583E+02  0.68107E+03
0.16000E+04  0.45000E+02  0.52002E+02  0.67711E+03
0.16000E+04  0.47500E+02  0.52386E+02  0.67292E+03
0.16000E+04  0.50000E+02  0.52739E+02  0.66853E+03
0.16000E+04  0.52500E+02  0.53064E+02  0.66398E+03
0.16000E+04  0.55000E+02  0.53365E+02  0.65931E+03
0.16000E+04  0.57500E+02  0.53642E+02  0.65454E+03
0.16000E+04  0.60000E+02  0.53899E+02  0.64968E+03
0.16000E+04  0.62500E+02  0.54138E+02  0.64476E+03
0.16000E+04  0.65000E+02  0.54359E+02  0.63978E+03

