Group numbers,Specimen material,Test type,
,,,
,,,
Results Table 1,,,
,Group numbers,Specimen material,Test type
2,17,erethane_foam,compression
,,,
Results Table 2,,,
,,,
,,,
,,,
Time,Displacement,Force,
(s),(mm),(N),
35.5,1.18382,7.40933,
35.6,1.18682,7.22597,
35.7,1.18982,7.16512,
35.8,1.19384,7.3382,
35.9,1.19679,7.339,
36,1.19979,7.46963,
36.1,1.2038,7.55158,
36.2,1.20675,7.49863,
36.3,1.20986,7.41968,
36.4,1.21382,7.55717,
36.5,1.21677,7.55873,
36.6,1.21982,7.75339,
36.7,1.22379,7.66299,
36.8,1.22673,7.70165,
36.9,1.22989,7.72995,
37,1.23375,7.8244,
37.1,1.23675,7.74145,
37.2,1.23991,7.87068,
37.3,1.24371,7.80977,
37.4,1.24682,7.90243,
37.5,1.24993,7.89188,
37.6,1.25363,8.06907,
37.7,1.25679,7.98212,
37.8,1.25995,8.03934,
37.9,1.26359,8.0209,
38,1.2668,8.11128,
38.1,1.26996,8.01166,
38.2,1.27355,8.0971,
38.3,1.27682,8.08651,
38.4,1.27998,8.11607,
38.5,1.28352,8.11006,
38.6,1.28684,8.2464,
38.7,1.29005,8.10695,
38.8,1.29343,8.35169,
38.9,1.2968,8.30336,
39,1.30007,8.48554,
39.1,1.30339,8.37546,
39.2,1.30693,8.32505,
39.3,1.31009,8.21007,
39.4,1.3133,8.56174,
39.5,1.31695,8.59542,
39.6,1.32011,8.55305,
39.7,1.32327,8.62286,
39.8,1.32702,8.58102,
39.9,1.33013,8.51439,
40,1.33318,8.77323,
40.1,1.33704,8.77885,
40.2,1.34014,8.80659,
40.3,1.3432,8.6668,
40.4,1.34711,8.93562,
40.5,1.35011,8.76902,
40.6,1.35316,8.73898,
40.7,1.35713,8.85034,
40.8,1.36007,8.82033,
40.9,1.36318,8.95492,
41,1.36714,8.93627,
41.1,1.37009,8.85102,
41.2,1.3732,9.06641,
41.3,1.37716,9.03183,
41.4,1.38011,8.90078,
41.5,1.38316,9.08076,
41.6,1.38707,9.24252,
41.7,1.39012,8.84748,
41.8,1.39323,9.27758,
41.9,1.39709,9.11726,
42,1.40009,9.14943,
42.1,1.4032,8.96085,
42.2,1.40705,9.13425,
42.3,1.41011,9.03543,
42.4,1.41321,9.12537,
42.5,1.41702,9.32825,
42.6,1.42013,9.30725,
42.7,1.42329,9.25225,
42.8,1.42698,9.13838,
42.9,1.43009,9.3279,
43,1.4333,9.43547,
43.1,1.43689,9.21558,
43.2,1.44011,9.26453,
43.3,1.44332,9.46113,
43.4,1.4468,9.51001,
43.5,1.45012,9.24571,
43.6,1.45339,9.32357,
43.7,1.45677,9.46652,
43.8,1.4602,9.37875,
43.9,1.46341,9.30725,
44,1.46673,9.54008,
44.1,1.47021,9.5993,
44.2,1.47343,9.54241,
44.3,1.47664,9.42527,
44.4,1.48029,9.63262,
44.5,1.48339,9.56219,
44.6,1.48661,9.67179,
44.7,1.4903,9.53649,
44.8,1.49341,9.76764,
44.9,1.49657,9.66745,
45,1.50032,9.36817,
45.1,1.50343,9.73887,
45.2,1.50659,9.65528,
45.3,1.51039,9.82721,
45.4,1.51345,9.75896,
45.5,1.51655,9.74044,
45.6,1.52041,9.62696,
45.7,1.52346,9.71918,
45.8,1.52652,9.7001,
45.9,1.53043,9.74305,
46,1.53348,9.71743,
46.1,1.53648,9.75206,
46.2,1.54045,9.90463,
46.3,1.54345,9.65846,
46.4,1.5465,10.11053,
46.5,1.55046,9.88905,
46.6,1.55341,9.7608,
46.7,1.55652,9.89867,
46.8,1.56048,9.90469,
46.9,1.56343,9.96931,
47,1.56654,9.91076,
47.1,1.57045,9.5488,
47.2,1.57339,10.02168,
47.3,1.57655,9.97276,
47.4,1.58036,9.86236,
47.5,1.58341,9.90884,
47.6,1.58662,9.89807,
47.7,1.59027,9.93737,
47.8,1.59343,10.00566,
47.9,1.59664,10.02767,
48,1.60018,9.72333,
48.1,1.60345,9.88122,
48.2,1.60671,9.87857,
48.3,1.61014,9.80078,
48.4,1.61352,10.06376,
48.5,1.61668,10.04767,
48.6,1.62005,10.09007,
48.7,1.62354,10.07041,
48.8,1.6267,10.03803,
48.9,1.63002,10.05818,
49,1.63355,10.02006,
49.1,1.63671,10.04046,
49.2,1.64004,10.16911,
49.3,1.64357,10.02463,
49.4,1.64673,10.10742,
49.5,1.65,10.35206,
49.6,1.65359,10.25585,
49.7,1.65675,10.15414,
49.8,1.65996,10.23969,
49.9,1.66361,10.31519,
50,1.66677,10.30274,
50.1,1.66987,10.25681,
50.2,1.67368,10.07966,
50.3,1.67679,10.38529,
50.4,1.67984,10.18653,
50.5,1.68375,10.40486,
50.6,1.6868,10.31392,
50.7,1.68986,10.27492,
50.8,1.69382,10.14102,
50.9,1.69677,10.27672,
51,1.69982,10.22756,
51.1,1.70379,10.46638,
51.2,1.70673,10.19273,
51.3,1.70984,10.28307,
51.4,1.7138,10.37938,
51.5,1.71675,10.18866,
51.6,1.71986,10.28112,
51.7,1.72377,10.403,
51.8,1.72671,10.37075,
51.9,1.72987,10.37408,
52,1.73379,10.39088,
52.1,1.73673,10.3712,
52.2,1.73989,10.25165,
52.3,1.7437,10.399,
52.4,1.74675,10.32993,
52.5,1.74996,10.2962,
52.6,1.75361,10.51627,
52.7,1.75677,10.58697,
52.8,1.75993,10.39225,
52.9,1.76357,10.40703,
53,1.76679,10.54577,
53.1,1.77,10.52091,
53.2,1.77354,10.41345,
53.3,1.7768,10.4024,
53.4,1.78002,10.51867,
53.5,1.7835,10.53354,
53.6,1.78682,10.55455,
53.7,1.79004,10.484,
53.8,1.79341,10.40331,
53.9,1.79684,10.60185,
54,1.80005,10.51559,
54.1,1.80332,10.63731,
54.2,1.80691,10.66516,
54.3,1.81012,10.39564,
54.4,1.81323,10.55085,
54.5,1.81693,10.60892,
54.6,1.82014,10.63807,
54.7,1.82325,10.6972,
54.8,1.827,10.48928,
54.9,1.83011,10.52954,
55,1.83321,10.38553,
55.1,1.83707,10.30435,
55.2,1.84012,10.56199,
55.3,1.84318,10.53375,
55.4,1.84709,10.73937,
55.5,1.85009,10.72473,
55.6,1.8532,10.63225,
55.7,1.85711,10.69993,
55.8,1.86005,10.43172,
55.9,1.86316,10.65227,
56,1.86712,10.53464,
56.1,1.87007,10.66358,
56.2,1.87318,10.55263,
56.3,1.87714,10.84808,
56.4,1.88009,10.60772,
56.5,1.8832,10.92668,
56.6,1.88711,10.56501,
56.7,1.89011,10.58193,
56.8,1.89321,10.74554,
56.9,1.89707,10.70969,
57,1.90007,10.6277,
57.1,1.90323,10.79337,
