Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"1","17","polystyrene","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"24.00000","0.97554","17.89038"
"24.10000","0.97859","17.92683"
"24.20000","0.98170","18.26518"
"24.30000","0.98550","18.41644"
"24.40000","0.98861","18.87754"
"24.50000","0.99177","18.98916"
"24.60000","0.99546","19.27554"
"24.70000","0.99857","19.63316"
"24.80000","1.00179","19.84993"
"24.90000","1.00538","20.16003"
"25.00000","1.00859","20.46249"
"25.10000","1.01180","20.53273"
"25.20000","1.01529","20.82230"
"25.30000","1.01861","21.11170"
"25.40000","1.02182","21.34419"
"25.50000","1.02525","21.68595"
"25.60000","1.02868","22.17112"
"25.70000","1.03189","22.09884"
"25.80000","1.03511","22.28875"
"25.90000","1.03870","23.04097"
"26.00000","1.04191","23.14559"
"26.10000","1.04507","23.25162"
"26.20000","1.04877","23.73577"
"26.30000","1.05193","23.77106"
"26.40000","1.05504","24.07579"
"26.50000","1.05884","24.53105"
"26.60000","1.06189","24.57136"
"26.70000","1.06500","25.09693"
"26.80000","1.06880","25.13703"
"26.90000","1.07191","25.53547"
"27.00000","1.07502","25.75576"
"27.10000","1.07888","26.15646"
"27.20000","1.08188","26.26915"
"27.30000","1.08498","26.52822"
"27.40000","1.08889","26.97281"
"27.50000","1.09189","27.17515"
"27.60000","1.09500","27.49634"
"27.70000","1.09891","27.75303"
"27.80000","1.10191","27.74002"
"27.90000","1.10496","28.22090"
"28.00000","1.10893","28.71264"
"28.10000","1.11193","28.75518"
"28.20000","1.11498","29.15234"
"28.30000","1.11895","29.50564"
"28.40000","1.12189","29.68176"
"28.50000","1.12495","29.88317"
"28.60000","1.12891","30.24182"
"28.70000","1.13191","30.52969"
"28.80000","1.13496","30.87005"
"28.90000","1.13893","31.09202"
"29.00000","1.14188","31.28263"
"29.10000","1.14498","31.43382"
"29.20000","1.14889","31.95892"
"29.30000","1.15189","32.35544"
"29.40000","1.15505","32.37998"
"29.50000","1.15880","33.01495"
"29.60000","1.16191","32.98520"
"29.70000","1.16507","33.34830"
"29.80000","1.16871","33.78953"
"29.90000","1.17188","34.08406"
"30.00000","1.17514","34.21876"
"30.10000","1.17868","34.48139"
"30.20000","1.18195","34.81705"
"30.30000","1.18516","35.02568"
"30.40000","1.18859","35.52289"
"30.50000","1.19202","35.75723"
"30.60000","1.19518","36.05888"
"30.70000","1.19855","36.06417"
"30.80000","1.20204","36.62803"
"30.90000","1.20520","36.95330"
"31.00000","1.20852","37.22292"
"31.10000","1.21205","37.56033"
"31.20000","1.21521","37.65196"
"31.30000","1.21848","38.13544"
"31.40000","1.22207","38.59770"
"31.50000","1.22523","38.57161"
"31.60000","1.22839","39.00936"
"31.70000","1.23214","39.23001"
"31.80000","1.23525","39.47212"
"31.90000","1.23836","39.81814"
"32.00000","1.24221","40.37377"
"32.10000","1.24521","40.32255"
"32.20000","1.24832","40.66068"
"32.30000","1.25223","40.94447"
"32.40000","1.25529","41.22152"
"32.50000","1.25829","41.43734"
"32.60000","1.26225","41.70995"
"32.70000","1.26525","42.08817"
"32.80000","1.26825","42.31448"
"32.90000","1.27232","42.79199"
"33.00000","1.27521","42.82284"
"33.10000","1.27832","43.10985"
"33.20000","1.28229","43.51539"
"33.30000","1.28523","43.71000"
"33.40000","1.28829","43.82771"
"33.50000","1.29230","44.23510"
"33.60000","1.29520","44.39813"
"33.70000","1.29836","44.56776"
"33.80000","1.30221","44.97832"
"33.90000","1.30521","45.22129"
"34.00000","1.30838","45.45528"
"34.10000","1.31218","45.91245"
"34.20000","1.31523","46.15670"
"34.30000","1.31839","46.32841"
"34.40000","1.32214","46.57129"
"34.50000","1.32525","46.83452"
"34.60000","1.32846","47.24728"
"34.70000","1.33205","47.34864"
"34.80000","1.33527","47.78830"
"34.90000","1.33848","47.78630"
"35.00000","1.34202","47.99296"
"35.10000","1.34529","48.36353"
"35.20000","1.34845","48.51551"
"35.30000","1.35198","48.94774"
"35.40000","1.35530","49.05722"
"35.50000","1.35852","49.33841"
"35.60000","1.36195","49.57472"
