Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"2","17","ethefoam","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"29.10000","0.97018","10.66479"
"29.20000","0.97334","10.77592"
"29.30000","0.97655","10.62745"
"29.40000","0.98020","10.89074"
"29.50000","0.98336","10.77781"
"29.60000","0.98652","10.83507"
"29.70000","0.99021","10.99137"
"29.80000","0.99332","10.81834"
"29.90000","0.99648","10.96587"
"30.00000","1.00029","11.01001"
"30.10000","1.00334","11.01956"
"30.20000","1.00645","10.94601"
"30.30000","1.01030","11.21073"
"30.40000","1.01336","11.18936"
"30.50000","1.01646","11.32353"
"30.60000","1.02032","11.31322"
"30.70000","1.02337","11.36129"
"30.80000","1.02643","11.38358"
"30.90000","1.03039","11.46013"
"31.00000","1.03339","11.42209"
"31.10000","1.03645","11.67447"
"31.20000","1.04041","11.47695"
"31.30000","1.04341","11.58558"
"31.40000","1.04646","11.46962"
"31.50000","1.05037","11.66794"
"31.60000","1.05338","11.75869"
"31.70000","1.05643","11.64228"
"31.80000","1.06039","11.84497"
"31.90000","1.06339","11.85880"
"32.00000","1.06645","11.79622"
"32.10000","1.07036","12.00933"
"32.20000","1.07330","12.06889"
"32.30000","1.07652","12.15997"
"32.40000","1.08032","12.24127"
"32.50000","1.08332","12.20497"
"32.60000","1.08654","12.17878"
"32.70000","1.09018","12.16571"
"32.80000","1.09334","12.22659"
"32.90000","1.09661","12.28567"
"33.00000","1.10009","12.27474"
"33.10000","1.10341","12.54063"
"33.20000","1.10662","12.24232"
"33.30000","1.11000","12.50459"
"33.40000","1.11343","12.46871"
"33.50000","1.11664","12.56733"
"33.60000","1.11996","12.66652"
"33.70000","1.12350","12.63169"
"33.80000","1.12671","12.55907"
"33.90000","1.12993","12.82618"
"34.00000","1.13352","12.77018"
"34.10000","1.13668","12.80954"
"34.20000","1.13989","12.97695"
"34.30000","1.14354","13.02284"
"34.40000","1.14670","12.89906"
"34.50000","1.14986","13.03973"
"34.60000","1.15355","13.00906"
"34.70000","1.15666","13.03191"
"34.80000","1.15982","13.32651"
"34.90000","1.16362","13.26330"
"35.00000","1.16668","13.34998"
"35.10000","1.16984","13.36726"
"35.20000","1.17359","13.47012"
"35.30000","1.17675","13.29133"
"35.40000","1.17980","13.38300"
"35.50000","1.18366","13.39403"
"35.60000","1.18677","13.68507"
"35.70000","1.18977","13.52656"
"35.80000","1.19368","13.62916"
"35.90000","1.19668","13.72309"
"36.00000","1.19973","13.58980"
"36.10000","1.20375","13.78163"
"36.20000","1.20670","13.67159"
"36.30000","1.20975","13.81702"
"36.40000","1.21371","13.65339"
"36.50000","1.21671","13.83514"
"36.60000","1.21977","13.82440"
"36.70000","1.22373","13.79572"
"36.80000","1.22668","13.99247"
"36.90000","1.22979","14.02798"
"37.00000","1.23370","13.75967"
"37.10000","1.23664","14.16554"
"37.20000","1.23986","14.02251"
"37.30000","1.24361","14.44535"
"37.40000","1.24666","14.31318"
"37.50000","1.24988","14.29959"
"37.60000","1.25352","14.42993"
"37.70000","1.25673","14.23980"
"37.80000","1.25989","14.57020"
"37.90000","1.26348","14.59040"
